08:47:46 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
08:47:46 | INFO    | core.graph | Stopped after reaching max_iterations=5 without ever producing a hard-constraint-valid schedule.
08:47:46 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
08:47:50 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
08:47:50 | INFO    | core.graph | Stopped after reaching max_iterations=5 without ever producing a hard-constraint-valid schedule.
08:47:50 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
08:57:37 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
08:57:37 | INFO    | core.graph | Stopped after reaching max_iterations=5 without ever producing a hard-constraint-valid schedule.
08:57:37 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
09:15:28 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
09:15:28 | INFO    | core.graph | Stopped after reaching max_iterations=5 without ever producing a hard-constraint-valid schedule.
09:15:28 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
09:15:42 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
09:15:42 | INFO    | core.graph | Stopped after reaching max_iterations=5 without ever producing a hard-constraint-valid schedule.
09:15:42 | INFO    | core.graph | Final attempt was invalid/worse than an earlier iteration; falling back to the best valid schedule found (gap=0.050).
09:15:56 | INFO    | agents.drafting_agent | DraftingAgent produced 114 lines of logic
09:15:56 | INFO    | agents.refinement_agent | RefinementAgent produced 114 lines of logic
11:28:32 | INFO    | core.orchestrator | Starting SmartScheduler: case_type=B workers=20 max_iterations=5
11:28:35 | INFO    | llm.groq_client | Groq call ok (attempt 1): ~1883 tokens, model=qwen/qwen3.6-27b
11:28:35 | INFO    | agents.preference_agent | Parsed preferences for 20 workers
11:28:38 | INFO    | llm.groq_client | Groq call ok (attempt 1): ~4080 tokens, model=qwen/qwen3.6-27b
